Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Jonathan,Dahlgren,Furugatan 523,Trollhättan,33903,Sverige,SE,19750222-7854,+46,+46 (0)8 442 936 76,1975-02-22,True
Alexander,Herrera,Johnson Gardens 58269,Danielville,19149,Danmark,DK,19421120-6762,+45,3259320317,1942-11-20,True
Marika,Tikka,Taavinkatu 6,Raisio,92468,Finland,FI,19650618-354V,358,+358 91 6452375,1965-06-18,True
Nicholas,Roberts,Bryan Locks 864,Christopherfurt,41826,Danmark,DK,19471219-1895,+45,+1-321-362-2008x9052,1947-12-19,True
Arne,Björk,Parkgatan 794,Lidköping,30598,Sverige,SE,19541025-5183,+46,014-863 34 24,1954-10-25,True
Marcus,Nilsson,Asptorget 614,Växjö,57380,Sverige,SE,19790708-1336,+46,075-509 28 71,1979-07-08,True
Gert,Lindström,Furugränd 752,Trelleborg,93405,Sverige,SE,19860228-7677,+46,+46 (0)451 168 38,1986-02-28,True
Benjamin,Brooks,Jeffrey Fort 374,Hullville,69102,Danmark,DK,19980407-9057,+45,001-777-952-9743x37161,1998-04-07,True
Per,Johansson,Industritorget 129,Gävle,56139,Sverige,SE,19820803-7649,+46,08-570 701 86,1982-08-03,True
Britt,Arnesen,Haugenmarka 4B,Bjørgsand,5758,Norge,NO,19770614-4861,+47,48307333,1977-06-14,True
Inger,Gustafsson,Skogsgränd 627,Uddevalla,12785,Sverige,SE,19540713-0574,+46,0909-90 10 47,1954-07-13,True
Birgitta,Axelsson,Backgatan 219,Östersund,47238,Sverige,SE,19720605-2386,+46,08-070 60 86,1972-06-05,True
Tuulikki,Tanskanen,Elonbulevardi 897,Tuusniemi,08371,Finland,FI,19930224-7837,+358,+358 30 7202892,1993-02-24,True
John,Mendez,Rivera Mountain 933,Luceroport,25562,Danmark,DK,19690118-8226,+45,5008271760,1969-01-18,True
Anna,Lundin,Trädgårdsgränd 2,Karlstad,13699,Sverige,SE,19400824-8335,+46,0091-716 70,1940-08-24,True
Elin,Hermansson,Nygatan 930,Karlskoga,48478,Sverige,SE,19850516-6059,+46,08-965 411 51,1985-05-16,True
Maria,Jansson,Granvägen 02,Kalmar,86790,Sverige,SE,19720622-8973,+46,+46 (0)8 487 341 86,1972-06-22,True
Mette,Rasmussen,Eidelunden 05,Hanssjøen,3390,Norge,NO,19520720-4249,+47,46920149,1952-07-20,True
Harry,Möller,Idrottsvägen 812,Örnsköldsvik,49275,Sverige,SE,20001212-4124,+46,08-81 87 67,2000-12-12,True
Stine,Holm,Moekroken 99G,Karenvær,9668,Norge,NO,19761019-5990,+47,419 39 989,1976-10-19,True
Ruben,Evans,Misty Oval 01173,Port Joshuachester,90305,Danmark,DK,19920113-0433,+45,238.447.3595,1992-01-13,True
Stig,Jørgensen,Edvardsenfaret 7,Olavdal,1362,Norge,NO,19930303-3314,+47,973 52 656,1993-03-03,True
Göran,Eriksson,Åkervägen 4,Göteborg,46520,Sverige,SE,19970201-8476,+46,08-933 709 95,1997-02-01,True
Kjell,Karlsson,Skolgatan 0,Alingsås,32461,Sverige,SE,19790906-0808,+46,08-868 88 31,1979-09-06,True
Gudrun,Mårtensson,Aspgränd 16,Skellefteå,91770,Sverige,SE,19630102-1159,+46,08-938 128 44,1963-01-02,True
Maria,Gulbrandsen,Eriksengropa 9,Edvardsen,5892,Norge,NO,19550221-0295,+47,98715641,1955-02-21,True
Ebba,Gustafsson,Furugatan 714,Borlänge,94165,Sverige,SE,19461001-1717,+46,0351-40 11 92,1946-10-01,True
Ingegärd,Söderström,Skogsvägen 160,Skellefteå,11247,Sverige,SE,19511020-8516,+46,08-197 149 21,1951-10-20,True
Sigurd,Sandvik,Strandgropa 51,Knudsen,2136,Norge,NO,19841025-5011,+47,+4747910179,1984-10-25,True
Rolf,Johansson,Industrivägen 59,Piteå,51011,Sverige,SE,19400228-9554,+46,08-973 84 48,1940-02-28,True
Gunilla,Olsson,Gengränd 29,Linköping,72541,Sverige,SE,19990726-4416,+46,08-900 00 63,1999-07-26,True
Josefin,Nordström,Ringtorget 75,Sandviken,84385,Sverige,SE,19690523-8846,+46,08-13 80 12,1969-05-23,True
Aud,Kristensen,Næsssvingen 33,Hansen,1554,Norge,NO,19541023-0721,+47,90389881,1954-10-23,True
Björn,Dahl,Kvarngränd 81,Trelleborg,29009,Sverige,SE,19710421-1775,+46,+46 (0)8 149 643 05,1971-04-21,True
Arvid,Friberg,Backgatan 90,Malmö,46372,Sverige,SE,19880506-3759,+46,0876-57 56 32,1988-05-06,True
Kristiina,Hämäläinen,Gadolininpolku 25,Juuka,41378,Finland,FI,19761229-4172,+358,(+358) 771250059,1976-12-29,True
Henrik,Svendsen,Hauglandbråten 1,Bakken,1369,Norge,NO,19680611-1997,+47,+4761257976,1968-06-11,True
Tapani,Vainio,Wäinö Aaltosen kuja 376,Eura,21500,Finland,FI,19630813-583R,+358,(+358) 633255112,1963-08-13,True
Sarah,Smith,Craig Mountain 3835,Nguyenville,03072,Danmark,DK,19930523-4867,+45,499-480-5148,1993-05-23,False
Keith,Quinn,Mcdonald Place 67867,Smithshire,22611,Danmark,DK,19500228-6995,+45,(515)575-3725x77176,1950-02-28,True
Jonas,Nyberg,Ekgatan 22,Göteborg,75574,Sverige,SE,19840302-2145,+46,+46 (0)8 446 123 89,1984-03-02,True
Kim,Karlsson,Villagatan 280,Kalmar,44938,Sverige,SE,19550221-7393,+46,08-40 35 29,1955-02-21,True
Elisabet,Jonsson,Storstigen 0,Umeå,56728,Sverige,SE,19420312-8881,+46,+46 (0)87 61 14 02,1942-03-12,True
Åke,Forslund,Parkvägen 67,Göteborg,87331,Sverige,SE,19721223-6909,+46,+46 (0)484 330 45,1972-12-23,True
Ingela,Söderberg,Åkergränd 134,Piteå,46799,Sverige,SE,19620831-6954,+46,08-249 39 53,1962-08-31,True
Lisa,Johansson,Bäckgränd 16,Gävle,57833,Sverige,SE,19560507-8171,+46,066-017 73 98,1956-05-07,True
Stefan,Karlsson,Nyvägen 245,Falun,75260,Sverige,SE,19630430-2517,+46,08-300 348 51,1963-04-30,True
Barry,Marks,Heather Roads 78017,Alberthaven,32595,Danmark,DK,19530501-4910,+45,(414)585-6423,1953-05-01,True
Hege,Rønning,Jørgensengjerdet 8,Bjørngrunn,8598,Norge,NO,19640703-2834,+47,+47 99 32 81 60,1964-07-03,True
Fredrik,Danielsson,Parkstigen 97,Eskilstuna,23965,Sverige,SE,19830709-9525,+46,08-93 33 48,1983-07-09,True
Michael,Fredriksson,Nygatan 81,Västerås,53908,Sverige,SE,19620109-1630,+46,+46 (0)133 756 81,1962-01-09,True
Maja,Lindgren,Industritorget 880,Lidingö,24584,Sverige,SE,19541023-4593,+46,0635-70 78 38,1954-10-23,True
Antero,Kilpeläinen,Kuhankeittäjäntie 9,Ii,16798,Finland,FI,19920609-230V,+358,+358 13 9065200,1992-06-09,True
Magnus,Jönsson,Nyvägen 1,Karlskrona,97894,Sverige,SE,19640820-7311,+46,08-17 24 61,1964-08-20,True
Iida,Kärki,Gyldénintie 8,Pedersören kunta,99140,Finland,FI,19840815-549K,+358,(+358) 873982225,1984-08-15,True
Sven,Eriksson,Åkertorget 770,Landskrona,35839,Sverige,SE,19760413-8497,+46,+46 (0)8 170 556 51,1976-04-13,True
Eirik,Hanssen,Solheimhøgda 2,Solheim,5646,Norge,NO,19450128-6206,+47,94324116,1945-01-28,True
Rolf,Ali,Knudsenhavna 6,Svendsen,1198,Norge,NO,19840621-5837,+47,407 03 640,1984-06-21,True
Marie,Nilsson,Idrottsstigen 42,Piteå,35411,Sverige,SE,19980301-8540,+46,0300-425 52,1998-03-01,True
Sisko,Karhunen,Fallintie 298,Posio,70978,Finland,FI,19860403-723R,+358,0658618711,1986-04-03,True
Silje,Hanssen,Næsshagen 46,Solheim,9158,Norge,NO,19771125-1991,+47,+4706082992,1977-11-25,True
Alice,Gustafsson,Skolstigen 171,Trollhättan,65660,Sverige,SE,19610610-6367,+46,0893-25 14 56,1961-06-10,True
Britt,Karlsson,Skolvägen 79,Lidköping,19125,Sverige,SE,19770825-3941,+46,+46 (0)824 963 27,1977-08-25,True
Marie,Jonsson,Backtorget 546,Trollhättan,70307,Sverige,SE,19420916-9554,+46,08-430 69 91,1942-09-16,True
Olivia,Dahlgren,Furugatan 568,Trelleborg,95873,Sverige,SE,19941111-3543,+46,033-35 62 95,1994-11-11,True
Olov,Andersson,Ringtorget 1,Stockholm,81412,Sverige,SE,19550519-2691,+46,+46 (0)69 24 58 07,1955-05-19,True
Mari,Johnsen,Hagenhagen 13,Janbø,1553,Norge,NO,19560226-1546,+47,19509535,1956-02-26,True
Peter,Berg,Ringgränd 0,Motala,84744,Sverige,SE,19900318-5855,+46,08-793 57 00,1990-03-18,True
Birgitta,Johansson,Järnvägsgatan 801,Karlskrona,32555,Sverige,SE,19640725-1513,+46,08-352 497 81,1964-07-25,True
Valborg,Davidsson,Parkvägen 86,Karlskoga,58255,Sverige,SE,19640614-9887,+46,08-294 06 07,1964-06-14,True
Simon,Andersson,Villagatan 278,Helsingborg,17365,Sverige,SE,19801029-6393,+46,08-183 01 72,1980-10-29,True
Anita,Persson,Furutorget 763,Malmö,68838,Sverige,SE,19761007-5318,+46,+46 (0)697 214 96,1976-10-07,True
Erik,Karlsson,Kyrkovägen 315,Sundsvall,49367,Sverige,SE,20000101-8000,+46,+46 (0)22 08 30 49,2000-01-01,True
Robert,Olsson,Åkerstigen 246,Lidingö,64328,Sverige,SE,19881211-3202,+46,030-02 66 58,1988-12-11,True
Kerstin,Olsson,Backstigen 1,Jönköping,82902,Sverige,SE,19950423-9070,+46,08-345 079 88,1995-04-23,True
Emil,Hansen,Hansenstykket 79A,Lien,5313,Norge,NO,19991011-3971,+47,91056815,1999-10-11,True
Emma,Jakobsson,Bäckstigen 92,Sandviken,71929,Sverige,SE,19491110-8243,+46,08-059 03 58,1949-11-10,True
Anita,Johansson,Kyrktorget 0,Malmö,92176,Sverige,SE,19820524-4502,+46,003-310 04 74,1982-05-24,True
Vidar,Aas,Brekkeflata 6,Sirivik,4619,Norge,NO,19410624-4892,+47,949 35 687,1941-06-24,True
Mattias,Pettersson,Furuvägen 65,Örnsköldsvik,46124,Sverige,SE,19820603-1690,+46,0177-459 16,1982-06-03,True
Hege,Jørgensen,Brekkegata 9,Ritafjell,9273,Norge,NO,19820528-6147,+47,+4701350780,1982-05-28,True
Juha,Koskela,Runokyläntie 01,Kristiinankaupunki,36845,Finland,FI,19570721-438K,+358,+358 71 7047536,1957-07-21,True
Marte,Helland,Nygårdvika 504,Kristensen,9637,Norge,NO,19881014-1784,+47,+4756754503,1988-10-14,True
Matilda,Svensson,Bäckgatan 57,Östersund,26038,Sverige,SE,19940530-4919,+46,08-275 19 46,1994-05-30,True
Maj,Lindqvist,Skolgränd 819,Skövde,63398,Sverige,SE,19671230-9538,+46,+46 (0)8 431 937 96,1967-12-30,True
Elisabeth,Dahlberg,Industritorget 30,Gävle,47295,Sverige,SE,19800817-8097,+46,+46 (0)421 488 05,1980-08-17,True
Wenche,Lie,Mikkelsenbakken 13,Hegevær,4765,Norge,NO,19530130-7314,+47,+4705155464,1953-01-30,True
Anders,Andersson,Björkvägen 3,Jönköping,81501,Sverige,SE,19530829-8434,+46,08-290 02 84,1953-08-29,True
Harold,Taylor,Snyder Unions 0048,West Miranda,14989,Danmark,DK,19680125-1487,+45,+1-743-372-7745x0007,1968-01-25,True
Martin,Skoglund,Asptorget 25,Skellefteå,50390,Sverige,SE,19620105-3067,+46,+46 (0)04 60 83 37,1962-01-05,True
Karl,Olsson,Trädgårdsvägen 8,Norrköping,82370,Sverige,SE,19670810-1645,+46,08-943 68 65,1967-08-10,True
Jeanette,Nilsson,Ängsgränd 53,Skövde,96342,Sverige,SE,19770704-5096,+46,08-60 16 03,1977-07-04,True
Pål,Henriksen,Sørensenåsen 91G,Strand,7666,Norge,NO,19880912-9988,+47,54323704,1988-09-12,True
Anette,Pedersen,Svendsenstien 8,Theaberg,1388,Norge,NO,19691029-2787,+47,91 23 81 02,1969-10-29,True
Tuomo,Nykänen,Betonitie 01,Närpiö,94481,Finland,FI,19951013-748P,+358,+358 933409015,1995-10-13,True
Stephen,Flores,Joseph Trafficway 37230,Harrisonchester,87959,Danmark,DK,19470828-3031,+45,(483)913-2306x51642,1947-08-28,True
Lisa,Thompson,Harris Burgs 703,New Elizabethfurt,14238,Danmark,DK,19521001-4137,+45,674.388.8025x87318,1952-10-01,True
Kari,Pettersen,Mikkelsenekra 43C,Lunde,8300,Norge,NO,19620322-8407,+47,98425110,1962-03-22,True
Sean,Russell,Kristin Lock 5624,Margaretborough,18360,Danmark,DK,20001105-7699,+45,(809)221-5318x6640,2000-11-05,True
Grethe,Arnesen,Danielsenlia 10,Ahmed,3073,Norge,NO,19460623-7750,+47,93170465,1946-06-23,True
Bo,Jonsson,Gengränd 84,Sundsvall,53286,Sverige,SE,19821010-2791,+46,08-56 19 95,1982-10-10,True
Monica,Söderlund,Idrottstorget 1,Örebro,22679,Sverige,SE,19860428-1028,+46,040-33 66 37,1986-04-28,True
Ingrid,Larsson,Trädgårdsstigen 406,Norrköping,26762,Sverige,SE,19540901-7752,+46,08-932 572 76,1954-09-01,True
Anna,Olsson,Skolgatan 223,Helsingborg,80992,Sverige,SE,19650204-9277,+46,+46 (0)8 989 338 21,1965-02-04,True
Robert,Todd,Stephen Stream 9271,Carolstad,33201,Danmark,DK,19840115-0070,+45,652.816.2450x05634,1984-01-15,True
Heather,Bean,Wilson Brooks 34809,Brandonfurt,08254,Danmark,DK,19450604-2168,+45,817-876-8349x6078,1945-06-04,True
Katja,Lindholm,Lautamiehenkatu 981,Mänttä-Vilppula,22259,Finland,FI,19930919-468V,+358,+358 79 2899786,1993-09-19,True
Anna,Svensson,Villagatan 423,Karlskrona,39073,Sverige,SE,19580718-2897,+46,08-71 08 30,1958-07-18,True
Christopher,Steele,Erika Tunnel 775,East Kristie,96280,Danmark,DK,19960719-9125,+45,(771)614-2808,1996-07-19,True
Jennifer,Myers,Bridges Ville 09541,Shannonmouth,58667,Danmark,DK,19940202-3540,+45,200-769-2567x345,1994-02-02,True
Ola,Berg,Kristiansenstykket 907,Birkeland,8518,Norge,NO,19880210-5148,+47,42263801,1988-02-10,True
Eva,Sandberg,Ekgatan 9,Sundsvall,14262,Sverige,SE,19780911-9093,+46,+46 (0)93 50 80 09,1978-09-11,True
Emil,Karlsson,Kyrkovägen 97,Stockholm,82285,Sverige,SE,19540805-0237,+46,08-875 311 83,1954-08-05,True
Birgitta,Carlsson,Granvägen 497,Trollhättan,99504,Norge,SE,19560530-5253,+46,051-26 03 07,1956-05-30,True
Valborg,Lindberg,Aspstigen 8,Umeå,35426,Sverige,SE,19410717-7646,+46,048-54 31 10,1941-07-17,True
Karen,Maldonado,Oconnor Viaduct 926,Port Michael,45363,Danmark,DK,19671218-3082,+45,(987)276-5942x78893,1967-12-18,True
Viola,Karlsson,Industrivägen 401,Lund,11780,Sverige,SE,19591204-8452,+46,08-86 79 05,1959-12-04,True
Kerstin,Karlsson,Ekvägen 434,Västerås,66701,Sverige,SE,19770817-1952,+46,0573-15 69 34,1977-08-17,False
Elisabet,Jussila,Purjetuulenkuja 46,Kannonkoski,89786,Finland,FI,19440419-1486,+358,+358 593399726,1944-04-19,True
Brianna,Rivera,Ralph Plains 634,Joshuaton,24097,Danmark,DK,19691208-1076,+45,001-314-328-1716,1969-12-08,True
Jenny,Haugland,Fredriksenhøgda 02,Bjørgøy,1707,Norge,NO,20000815-6544,+47,20267373,2000-08-15,True
Tyler,Wu,William Extensions 39050,Brandonberg,41768,Danmark,DK,19880503-2814,+45,001-763-708-2360,1988-05-03,True
Traci,Benton,Gray Trail 144,New Stephanie,30050,Danmark,DK,19880528-1361,+45,6947895062,1988-05-28,True
Karl,Andersen,Lienskrenten 3E,Amundsen,8116,Norge,NO,19841021-4877,+47,14020285,1984-10-21,True
Elisabet,Sjödin,Furugränd 60,Malmö,58418,Sverige,SE,19670715-6074,+46,0062-039 21,1967-07-15,True
Märta,Karlsson,Furuvägen 94,Sandviken,36779,Sverige,SE,19560803-5657,+46,0464-95 54 39,1956-08-03,True
Frode,Aasen,Myhrebråten 7,Auddal,7937,Norge,NO,19550815-4336,47,967 50 080,1955-08-15,True
Sini,Virtanen,Louhikkobulevardi 9,Pyhäranta,31322,Finland,FI,19460507-6462,+358,+358359156340,1946-05-07,True
Martin,Johansson,Ängsgatan 3,Sandviken,29200,Sverige,SE,19691215-8692,+46,08-40 24 50,1969-12-15,True
Ingemar,Nilsson,Industristigen 22,Borlänge,14358,Sverige,SE,19570318-0887,+46,057-23 22 51,1957-03-18,True
Liisa,Moisio,Chydeniuksenbulevardi 88,Sysmä,45157,Finland,FI,19730320-4093,+358,+358260315016,1973-03-20,True
Cindy,Spencer,William Drive 0638,Kaylabury,73097,Danmark,DK,19600409-2410,+45,(526)486-0852x25123,1960-04-09,False
Louise,Svensson,Kyrkgatan 1,Växjö,57240,Sverige,SE,19820403-3433,+46,+46 (0)30 98 32 46,1982-04-03,True
Jon,Hauge,Mikkelsenskrenten 09,Sigurdhamn,7381,Norge,NO,19880928-5805,+47,+4731716210,1988-09-28,True
Åke,Andersson,Villatorget 15,Västerås,96166,Sverige,SE,19740521-7971,+46,089-879 62 88,1974-05-21,True
Elise,Tveit,Myklebustgjerdet 422,Astridhamn,3725,Norge,NO,19940710-1857,+47,+4767791249,1994-07-10,True
Pirjo,Tamminen,Chydeniuksenbulevardi 44,Varkaus,60134,Finland,FI,19951012-674U,+358,(+358) 932860420,1995-10-12,True
Sebastian,Eriksson,Kvarngatan 7,Jönköping,40224,Sverige,SE,19490427-3782,+46,+46 (0)27 13 69 01,1949-04-27,True
Jan,Simonsen,Bakkenrøa 4,Andresen,9271,Norge,NO,19550904-0150,+47,49277956,1955-09-04,True
Petra,Svensson,Kyrkgränd 1,Lund,40390,Sverige,SE,19540530-3529,+46,+46 (0)8 607 592 82,1954-05-30,True
Tommy,Mikkelsen,Næsseggen 11,Berithavn,5796,Norge,NO,19851212-7738,+47,20 32 37 94,1985-12-12,True
Andrew,Schmidt,Adkins Radial 0896,Elizabethton,50250,Danmark,DK,19881024-7808,+45,510-901-8705x6271,1988-10-24,True
Guy,Stevens,Cooper Landing 9254,Stewartbury,10513,Danmark,DK,19910201-3191,+45,473.541.8491x78158,1991-02-01,True
Zachary,Tucker,Amanda Road 11867,Lake Jamesfurt,57283,Danmark,DK,19470105-6062,+45,(680)606-5868,1947-01-05,True
Tor,Madsen,Nilsenmyra 5,Anderssand,8572,Norge,NO,19491113-9540,+47,498 96 144,1949-11-13,True
Greta,Johansson,Stortorget 921,Trollhättan,77197,Sverige,SE,19631119-3799,+46,0424-38 55 97,1963-11-19,True
Jason,Brown,Kelly Cliff 7857,West Krista,54237,Danmark,DK,19550921-8571,+45,7116419334,1955-09-21,True
Viktor,Eriksson,Grangatan 9,Växjö,48383,Sverige,SE,19550321-6796,+46,+46 (0)542 122 84,1955-03-21,True
Deborah,Poole,Mary Ferry 4462,Port Brian,48406,Danmark,DK,19620701-1228,+45,001-557-214-6906x19225,1962-07-01,True
Ingrid,Andersson,Kvarntorget 7,Borås,97334,Sverige,SE,19931106-5078,+46,08-581 61 85,1993-11-06,True
Kaitlin,Adams,Johnson Lake 45071,New Jacob,09693,Danmark,DK,19550210-6425,+45,645.561.4256x366,1955-02-10,True
Charlotta,Lindberg,Ringstigen 92,Luleå,47865,Sverige,SE,19630813-5991,+46,0830-654 01,1963-08-13,True
Maria,Abrahamsson,Villagatan 6,Kristianstad,11431,Sverige,SE,19500124-9714,+46,08-20 01 72,1950-01-24,True
Gary,White,David Mountain 6937,Cortezstad,57670,Danmark,DK,19820905-0838,+45,001-209-336-8458,1982-09-05,True
Karl,Lundström,Furuvägen 2,Borås,58306,Sverige,SE,19640610-8948,+46,+46 (0)930 928 83,1964-06-10,True
Ulf,Norberg,Grantorget 830,Sandviken,75138,Sverige,SE,19421004-5845,+46,+46 (0)55 34 88 80,1942-10-04,True
Gunvor,Karlsson,Bäckgränd 695,Linköping,34793,Sverige,SE,19420608-1483,+46,+46 (0)491 754 25,1942-06-08,True
Pia,Nilsson,Ringvägen 0,Luleå,64090,Sverige,SE,19450924-2133,+46,08-293 431 29,1945-09-24,True
Kristin,Holm,Pedersenhaugen 54A,Nguyen,0169,Norge,NO,19841002-9047,+47,421 85 627,1984-10-02,True
Espen,Knutsen,Rønningkroken 755,Johanborg,2484,Norge,NO,19600611-3243,+47,45 49 58 45,1960-06-11,True
Ida,Göransson,Kvarngatan 039,Falun,38273,Sverige,SE,19480829-6363,+46,+46 (0)73 54 17 88,1948-08-29,True
Leif,Hauge,Hagenmoen 5,Johansen,6325,Norge,NO,19611027-0094,+47,92488317,1961-10-27,True
Anita,Oskarsson,Ringgatan 237,Örnsköldsvik,43944,Sverige,SE,19610523-4116,+46,08-785 40 62,1961-05-23,True
Kurt,Davis,Garcia Throughway 479,Port Manuel,08184,Danmark,DK,19610824-1132,+45,6679041902,1961-08-24,True
Gun,Ek,Björktorget 173,Lidingö,13918,Sverige,SE,19710708-4226,+46,08-45 39 46,1971-07-08,True
Robert,Berg,Parkgränd 393,Uddevalla,26121,Sverige,SE,19631118-7548,+46,060-22 12 96,1963-11-18,True
Tony,Mejia,Dale Neck 432,Timothyberg,53826,Danmark,DK,19550926-5484,+45,(678)549-7687x264,1955-09-26,True
Michael,White,Audrey Rue 28304,Lake Normaland,60885,Danmark,DK,19810324-9397,+45,(377)691-4941x09301,1981-03-24,True
Grete,Tangen,Auneringen 1,Gundersen,7127,Norge,NO,19650114-7015,+47,88 52 99 72,1965-01-14,True
Johanna,Lindgren,Idrottsgatan 030,Eskilstuna,56412,Sverige,SE,19681003-9666,+46,08-17 08 87,1968-10-03,True
Helena,Strömberg,Skoltorget 696,Piteå,12746,Sverige,SE,19420202-7377,+46,08-79 80 85,1942-02-02,True
Scott,Wright,Justin Parkways 47442,Diazberg,43191,Danmark,DK,19751126-5449,+45,(982)643-4308x31056,1975-11-26,True
Eija,Suominen,Winqvistintie 83,Joroinen,25157,Finland,FI,19820627-5331,+358,018 272 6476,1982-06-27,True
Göran,Sjöberg,Kyrkvägen 692,Göteborg,13153,Sverige,SE,19900830-8357,+46,055-36 69 22,1990-08-30,True
Helge,Halvorsen,Aasenengen 4,Strand,5373,Norge,NO,19630515-8953,+47,962 22 416,1963-05-15,True
Stephanie,Jones,Michael Manors 602,Terryport,94420,Danmark,DK,19870917-7046,+45,(705)959-0388x52489,1987-09-17,True
Tobias,Hellström,Industrivägen 8,Norrköping,47264,Sverige,SE,19660425-5422,+46,08-71 57 54,1966-04-25,True
Kurt,Andersson,Skogsgatan 117,Umeå,41338,Sverige,SE,19520316-8730,+46,+46 (0)686 057 71,1952-03-16,True
Ulrika,Pettersson,Idrottstorget 90,Ängelholm,61760,Sverige,SE,19961013-3654,+46,08-592 374 02,1996-10-13,True
Ivar,Jakobsson,Industrigränd 17,Karlskrona,34782,Sverige,SE,19500519-5353,+46,08-435 852 07,1950-05-19,True
Maarit,Liimatainen,Osmontie 243,Alavieska,28089,Finland,FI,19420310-603F,+358,+358 136888635,1942-03-10,True
Yngve,Wikström,Järnvägstorget 9,Trelleborg,91133,Sverige,SE,19951028-1476,+46,0562-683 92,1995-10-28,True
Thomas,Isaksson,Furuvägen 18,Södertälje,82730,Sverige,SE,19700930-8672,+46,08-032 38 54,1970-09-30,True
Ari,Lindberg,Uurtajankatu 7,Hollola,63255,Finland,FI,19460915-476R,+358,+358 139464225,1946-09-15,True
David,Johansson,Stationsvägen 62,Östersund,55835,Sverige,SE,19940703-5197,+46,+46 (0)377 973 19,1994-07-03,True
Morgan,Hunt,Anthony Field 1894,Andersonton,26561,Danmark,DK,19950416-9461,+45,001-575-205-4991x5361,1995-04-16,True
Catharina,Månsson,Skogsgatan 17,Varberg,49315,Sverige,SE,19941121-3691,+46,+46 (0)242 493 93,1994-11-21,True
Frank,Mcconnell,Benitez Well 29583,Port Nancyside,77402,Danmark,DK,19770531-4982,+45,294.249.8499x64426,1977-05-31,False
Emelie,Näslund,Villagatan 76,Östersund,84526,Sverige,SE,19560702-1794,46,+46 (0)8 202 266 94,1956-07-02,True
Johan,Pedersen,Knutsengjerdet 66,Ellingsen,1016,Norge,NO,19540222-7804,+47,41734134,1954-02-22,True
Göran,Sandberg,Fabriksgatan 6,Västerås,27645,Sverige,SE,19850515-7912,+46,0960-23 47 39,1985-05-15,True
Anders,Johansson,Skolgatan 137,Landskrona,19737,Sverige,SE,19900204-5559,+46,+46 (0)8 961 596 98,1990-02-04,True
Anita,Andersen,Eideskogen 96C,Finneid,1873,Norge,NO,19520901-4793,+47,+4796936344,1952-09-01,True
Jenny,Ågren,Parkgatan 3,Nyköping,55901,Sverige,SE,19860825-4439,+46,08-953 72 96,1986-08-25,True
Filip,Berggren,Industristigen 75,Jönköping,99586,Sverige,SE,19440422-2369,+46,0986-50 85 54,1944-04-22,True
Steinar,Engen,Hanssenflata 3,Geirnes,9691,Norge,NO,19500209-5308,+47,01167465,1950-02-09,True
Kristina,Lundström,Grangatan 2,Lund,77627,Sverige,SE,19450811-4443,+46,+46 (0)8 750 959 01,1945-08-11,True
Caroline,Arvidsson,Villagatan 87,Helsingborg,46894,Sverige,SE,19790519-5357,+46,08-217 24 85,1979-05-19,True
Ingrid,Svensson,Villagränd 996,Malmö,17311,Sverige,SE,19910220-6551,+46,067-635 55 16,1991-02-20,True
Samuel,Reid,Justin Terrace 471,Frostburgh,91581,Danmark,DK,19530828-4510,+45,408-898-2321x516,1953-08-28,True
Nora,Tveit,Arnesengropa 981,Holm,9575,Norge,NO,19820602-4348,+47,+47 75 33 28 96,1982-06-02,True
Frank,Knudsen,Lundmarka 714,Kristiansen,3851,Norge,NO,19480505-8063,+47,99 35 42 63,1948-05-05,True
Kathleen,Brown,Luis Causeway 0167,Michaelland,59084,Danmark,DK,19861123-6397,+45,7358463488,1986-11-23,True
Philip,Moberg,Kyrkogränd 4,Jönköping,13292,Sverige,SE,19670103-9699,+46,0856-210 92,1967-01-03,True
Göran,Hedberg,Ekstigen 78,Uppsala,68867,Sverige,SE,19580628-9856,+46,+46 (0)42 77 48 02,1958-06-28,True
Eli,Birkeland,Nilsengjerdet 95,Trondstrøm,9734,Norge,NO,19470616-4145,+47,+47 46 58 83 33,1947-06-16,True
Eero,Mäkelä,Louhenkuja 2,Geta,13681,Finland,FI,19471120-546D,+358,+358331415136,1947-11-20,True
Doris,Nilsson,Ringtorget 643,Mölndal,84329,Sverige,SE,19570413-0687,+46,+46 (0)8 448 980 30,1957-04-13,True
Nora,Solberg,Arnesenåsen 6,Rogergrunn,0685,Norge,NO,19781019-6625,+47,45237645,1978-10-19,True
Berit,Klasson,Skolgatan 35,Lidingö,77509,Sverige,SE,19900202-7631,+46,0342-14 17 53,1990-02-02,True
Margareta,Sandberg,Storvägen 1,Stockholm,21362,Sverige,SE,19540414-5735,+46,+46 (0)8 227 188 65,1954-04-14,True
Ingvar,Eriksson,Industrivägen 779,Örnsköldsvik,27180,Sverige,SE,19480316-8898,+46,+46 (0)8 538 675 45,1948-03-16,True
Sander,Dahl,Lundtjernet 8,Anitahelle,9173,Norge,NO,19611022-0049,+47,58 65 78 05,1961-10-22,True
Gunnar,Lund,Kvarnvägen 4,Västerås,99877,Sverige,SE,19780706-6774,46,0928-11 20 02,1978-07-06,True
Eva,Lie,Nguyenringen 2,Christianstad,8892,Norge,NO,19860325-1210,+47,32398945,1986-03-25,True
Dag,Aune,Andresenrøa 3,Vegardvær,6515,Norge,NO,19801219-1854,+47,90778217,1980-12-19,True
